COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "src/runner.py", "--label", "paired_00_a0", "--mode", "paired", "--order", "AB"]
{"phase": "initialized", "mode": "paired", "order": "AB"}
{"seconds": 0.19115962099749595, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "warmup", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1550918040011311, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "warmup", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15473283200117294, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15732097900036024, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15489809999417048, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 2, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15561164099926827, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 3, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15541109000332654, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 4, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15603140099847224, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 5, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1597247889949358, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 6, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15613161700457567, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 7, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15568733099644305, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "retained", "iteration": 8, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.3251050260005286, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "warmup", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23765163499774644, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "warmup", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23676642100326717, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2393573059962364, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.24025661699852208, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 2, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23646406299667433, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 3, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23757365199708147, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 4, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2367685290009831, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 5, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23672263900516555, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 6, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2365800730040064, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 7, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23665864299982786, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "retained", "iteration": 8, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23698284099373268, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23659551899618236, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2378254220020608, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 2, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2698047069934546, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 3, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.26620892099890625, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 4, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.26625043799867854, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 5, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2664475380006479, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 6, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2671816560032312, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 7, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.24921727599576116, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 8, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2367114950029645, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 9, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23728900899732253, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 10, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23716953399707563, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 11, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23681956400105264, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 12, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2365192439974635, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 13, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23693745699711144, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 14, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23675726799410768, "batches": 120, "input_pointer": 131451534180352, "method": "B", "phase": "repeat16", "iteration": 15, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15900064699962968, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15846294699440477, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15811954099626746, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 2, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15887344699876849, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 3, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1585753859981196, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 4, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1585261339932913, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 5, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15704381000250578, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 6, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15718656999524683, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 7, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15539402000285918, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 8, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15597279299981892, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 9, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15904344899900025, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 10, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15810445499664638, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 11, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15852826100308448, "batches": 108, "input_pointer": 131451534180352, "method": "A", "phase": "repeat16", "iteration": 12, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
